end,value,state,type
8/21/2010,464000,nat,h
8/28/2010,467000,nat,h
09/04/2010,452000,nat,h
09/11/2010,444000,nat,h
9/18/2010,459000,nat,h
9/25/2010,459000,nat,h
10/02/2010,446000,nat,h
10/09/2010,459000,nat,h
10/16/2010,444000,nat,h
10/23/2010,432000,nat,h
10/30/2010,453000,nat,h
11/06/2010,434000,nat,h
11/13/2010,432000,nat,h
11/20/2010,407000,nat,h
11/27/2010,432000,nat,h
12/04/2010,428000,nat,h
12/11/2010,425000,nat,h
12/18/2010,424000,nat,h
12/25/2010,404000,nat,h
01/01/2011,413000,nat,h
01/08/2011,434000,nat,h
1/15/2011,421000,nat,h
1/22/2011,446000,nat,h
1/29/2011,420000,nat,h
02/05/2011,402000,nat,h
02/12/2011,425000,nat,h
2/19/2011,394000,nat,h
2/26/2011,385000,nat,h
03/05/2011,414000,nat,h
03/12/2011,404000,nat,h
3/19/2011,407000,nat,h
3/26/2011,399000,nat,h
04/02/2011,395000,nat,h
04/09/2011,416000,nat,h
4/16/2011,402000,nat,h
4/23/2011,422000,nat,h
4/30/2011,468000,nat,h
05/07/2011,435000,nat,h
5/14/2011,414000,nat,h
5/21/2011,423000,nat,h
5/28/2011,418000,nat,h
06/04/2011,423000,nat,h
06/11/2011,413000,nat,h
6/18/2011,416000,nat,h
6/25/2011,421000,nat,h
07/02/2011,418000,nat,h
07/09/2011,408000,nat,h
7/16/2011,420000,nat,h
7/23/2011,411000,nat,h
7/30/2011,406000,nat,h
08/06/2011,405000,nat,h
8/13/2011,409000,nat,h
8/20/2011,415000,nat,h
8/27/2011,409000,nat,h
09/03/2011,414000,nat,h
09/10/2011,429000,nat,h
9/17/2011,422000,nat,h
9/24/2011,406000,nat,h
10/01/2011,405000,nat,h
10/08/2011,410000,nat,h
10/15/2011,395000,nat,h
10/22/2011,403000,nat,h
10/29/2011,399000,nat,h
11/05/2011,392000,nat,h
11/12/2011,383000,nat,h
11/19/2011,385000,nat,h
11/26/2011,397000,nat,h
12/03/2011,387000,nat,h
12/10/2011,368000,nat,h
12/17/2011,368000,nat,h
12/24/2011,386000,nat,h
12/31/2011,376000,nat,h
01/07/2012,391000,nat,h
1/14/2012,367000,nat,h
1/21/2012,381000,nat,h
1/28/2012,372000,nat,h
02/04/2012,368000,nat,h
02/11/2012,361000,nat,h
2/18/2012,359000,nat,h
2/25/2012,365000,nat,h
03/03/2012,375000,nat,h
03/10/2012,369000,nat,h
3/17/2012,368000,nat,h
3/24/2012,363000,nat,h
3/31/2012,358000,nat,h
04/07/2012,387000,nat,h
4/14/2012,381000,nat,h
